127,338,1465,338,1465,416,127,416,UNIHAKKA INTERNATIONAL SDN BHD
541,421,1045,421,1045,494,541,494,16 MAY 2018 18:30
640,503,949,503,949,581,640,581,(867388-U)
218,579,1370,579,1370,659,218,659,12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN
347,665,1234,665,1234,743,347,743,TAMPOI,81200 JOHOR BAHRU,JOHOR
599,741,984,741,984,809,599,809,TAX INVOICE
60,817,894,817,894,891,60,891,INVOICE # : OR18051602160350
62,946,185,946,185,1010,62,1010,ITEM
70,1044,771,1044,771,1110,70,1110,SR I00100000060- 4 VEGE
62,1131,224,1131,224,1203,62,1203,$5.50
64,1255,804,1255,804,1316,64,1316,SR I00100000001- CHICKEN
66,1346,220,1346,220,1414,66,1414,$2.70
986,1489,1517,1489,1517,1550,986,1550,TOTAL AMOUNT: $8.20
1058,1571,1529,1571,1529,1639,1058,1639,GST @6%: $0.46
1089,1653,1530,1653,1530,1721,1089,1721,NETT TOTAL: $8.20
64,1766,457,1766,457,1842,64,1842,PAYMENT MODE
64,1872,236,1872,236,1933,64,1933,CASH
64,1952,279,1952,279,2028,64,2028,CHANGE
58,2153,400,2153,400,2215,58,2215,GST SUMMARY
58,2245,406,2245,406,2307,58,2307,SR = GST @6%
407,2360,1135,2360,1135,2434,407,2434,GST REG #000656195584
304,2449,1259,2449,1259,2523,304,2523,BAR WANG RICE@PERMAS JAYA
464,2530,1097,2530,1097,2608,464,2608,(PRICE INCLUSIVE OF GST)
427,2606,1142,2606,1142,2689,427,2689,THANK YOU & COME AGAIN!
345,2695,1209,2695,1209,2761,345,2761,LIKE AND FOLLOW US ON FACEBOOK!
394,2779,1179,2779,1179,2853,394,2853,FACEBOOK.COM/BARWANGRICE
527,946,631,946,631,1018,527,1018,QTY
1378,932,1528,932,1528,1000,1378,1000,TOTAL
533,1133,558,1133,558,1197,533,1197,1
1369,1120,1519,1120,1519,1186,1369,1186,$5.50
533,1352,564,1352,564,1413,533,1413,1
1367,1335,1537,1335,1537,1411,1367,1411,$2.70
1308,1768,1521,1768,1521,1830,1308,1830,AMOUNT
1367,1864,1517,1864,1517,1926,1367,1926,$8.20
1365,1942,1519,1942,1519,2016,1365,2016,$0.00
812,2151,1046,2151,1046,2213,812,2213,AMOUNT($)
1373,2151,1521,2151,1521,2210,1373,2210,TAX($)
947,2247,1045,2247,1045,2304,947,2304,7.74
1419,2243,1519,2243,1519,2300,1419,2300,0.46
