198,260,1536,260,1536,332,198,332,UNIHAKKA INTERNATIONAL SDN BHD
617,339,1123,339,1123,398,617,398,20 JUN 2018 18:15
714,425,1029,425,1029,495,714,495,(867388-U)
303,502,1446,502,1446,578,303,578,12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN
430,590,1305,590,1305,659,430,659,TAMPOI,81200 JOHOR BAHRU,JOHOR
680,672,1057,672,1057,733,680,733,TAX INVOICE
138,750,967,750,967,811,138,811,INVOICE # : OR18062002170346
146,864,263,864,263,928,146,928,ITEM
608,867,704,867,704,936,608,936,QTY
1472,864,1605,864,1605,920,1472,920,TOTAL
143,962,1095,962,1095,1034,143,1034,SR I00100000035- 1 MEAT + 3 VEGE
143,1050,358,1050,358,1116,143,1116,RM6.69
144,1182,1111,1182,1111,1245,144,1245,SR I00100000170- IMPORTED VEGGIES
146,1273,351,1273,351,1331,146,1331,RM1.50
1395,1050,1600,1050,1600,1106,1395,1106,RM6.69
1387,1265,1602,1265,1602,1323,1387,1323,RM1.50
613,1056,644,1056,644,1114,613,1114,1
611,1271,643,1271,643,1332,611,1332,1
1010,1409,1600,1409,1600,1467,1010,1467,TOTAL AMOUNT: RM8.19
1082,1491,1600,1491,1600,1560,1082,1560,GST @0%: RM0.00
1107,1576,1608,1576,1608,1648,1107,1648,ROUNDING: RM0.01
1113,1659,1599,1659,1599,1717,1113,1717,NETT TOTAL: RM8.20
141,1781,537,1781,537,1850,141,1850,PAYMENT MODE
141,1874,316,1874,316,1927,141,1927,CASH
143,1956,350,1956,350,2025,143,2025,CHANGE
1385,1773,1606,1773,1606,1834,1385,1834,AMOUNT
1387,1869,1594,1869,1594,1927,1387,1927,RM8.20
1385,1951,1592,1951,1592,2009,1385,2009,RM0.00
143,2153,483,2153,483,2220,143,2220,GST SUMMARY
839,2161,1123,2161,1123,2214,839,2214,AMOUNT(RM)
1405,2156,1602,2156,1602,2215,1405,2215,TAX(RM)
143,2257,489,2257,489,2313,143,2313,SR = GST @0%
1025,2247,1128,2247,1128,2299,1025,2299,8.19
1496,2254,1600,2254,1600,2299,1496,2299,0.00
515,2354,1213,2354,1213,2435,515,2435,GST REG #000656195584
393,2456,1337,2456,1337,2528,393,2528,BAR WANG RICE@PERMAS JAYA
513,2539,1220,2539,1220,2608,513,2608,THANK YOU & COME AGAIN!
421,2620,1298,2620,1298,2680,421,2680,LIKE AND FOLLOW US ON FACEBOOK!
483,2706,1241,2706,1241,2778,483,2778,FACEBOOK.COM/BARWANGRICE
