33,63,323,63,323,79,33,79,UNIHAKKA INTERNATIONAL SDN BHD
125,81,232,81,232,95,125,95,30 MAR 2018 18:17
146,100,211,100,211,115,146,115,(867388-U)
53,115,305,115,305,131,53,131,12, JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN
83,135,273,135,273,150,83,150,TAMPOI,81200 JOHOR BAHRU,JOHOR
136,152,216,152,216,165,136,165,TAX INVOICE
18,168,198,168,198,182,18,182,INVOICE # : OR18033002170384
18,193,45,193,45,207,18,207,ITEM
120,195,140,195,140,209,120,209,QTY
307,195,337,195,337,208,307,208,TOTAL
19,215,224,215,224,230,19,230,SR I00100000035- 1 MEAT + 3 VEGE
17,235,50,235,50,247,17,247,$7.10
118,235,126,235,126,249,118,249,1
303,237,335,237,335,248,303,248,$7.10
19,260,188,260,188,277,19,277,SR I00100000015- VEGETABLE
17,282,50,282,50,294,17,294,$1.10
118,282,125,282,125,295,118,295,1
301,283,333,283,333,296,301,296,$1.10
220,314,334,314,334,328,220,328,TOTAL AMOUNT: $8.20
234,331,334,331,334,347,234,347,GST @6%: $0.46
241,351,335,351,335,364,241,364,NETT TOTAL: $8.20
15,373,101,373,101,388,15,388,PAYMENT MODE
289,377,334,377,334,389,289,389,AMOUNT
16,395,53,395,53,407,16,407,CASH
302,397,332,397,332,410,302,410,$8.20
17,412,61,412,61,426,17,426,CHANGE
300,415,332,415,332,427,300,427,$0.00
16,456,87,456,87,470,16,470,GST SUMMARY
180,457,228,457,228,471,180,471,AMOUNT($)
302,457,332,457,332,472,302,472,TAX($)
15,476,90,476,90,490,15,490,SR = GST @6%
207,478,228,478,228,489,207,489,7.74
310,480,332,480,332,490,310,490,0.46
96,503,248,503,248,517,96,517,GST REG #000656195584
69,521,275,521,275,537,69,537,BAR WANG RICE @PERMAS JAYA
103,538,241,538,241,556,103,556,(PRICE INCLUSIVE OF GST)
96,558,247,558,247,573,96,573,THANK YOU & COME AGAIN!
76,575,264,575,264,589,76,589,LIKE AND FOLLOW US ON FACEBOOK!
88,592,253,592,253,609,88,609,FACEBOOK,COM/BARWANGRICE
